longitude,latitude,month,day,avg_temp,max_temp,max_wind_speed,avg_wind,burned_area
4,3,04-Apr,00-sun,7.8,12.9,11,3.1,1
3,3,02-Feb,03-wed,7.1,16,5.3,1.1,50
2,3,04-Apr,06-sat,6.2,10.7,11.2,3.2,1
2,4,03-Mar,00-sun,7.5,14.3,8.9,1.9,10
1,4,07-Jul,01-mon,24,31.7,7,0.9,1
1,2,05-May,04-thu,19.9,30.1,6.5,0.8,10
3,3,04-Apr,01-mon,12.4,20,7.3,1.5,50
5,1,05-May,02-tue,19.5,26.4,5.2,1.3,5
5,1,05-May,00-sun,18.5,26.5,6.1,1.3,1
6,4,10-Oct,05-fri,9.8,19.9,4.5,0.8,30
6,4,10-Oct,04-thu,11.7,19.1,8.9,2,10
5,4,04-Apr,05-fri,17,26.9,8,1.4,1
3,6,11-Nov,05-fri,10.5,15.7,7,2.3,1
4,6,03-Mar,05-fri,14.8,23.6,9.5,1.4,1
5,3,11-Nov,00-sun,7.3,15.1,8.7,0.9,1
4,5,11-Nov,01-mon,6.5,16,5,0.5,1
3,5,12-Dec,01-mon,-3.8,2.6,7,1.5,1
3,6,04-Apr,03-wed,14.3,24.5,7,1.5,8
5,6,05-May,04-thu,22.2,30.9,7,2,2
5,6,05-May,05-fri,21.1,28.5,6.5,2.1,1
5,7,04-Apr,02-tue,14.5,23.1,9.3,2,1
5,6,04-Apr,02-tue,14.5,23.1,9.3,2,10
5,7,04-Apr,00-sun,13.7,21.5,7.4,2.1,1
3,2,04-Apr,02-tue,10.1,18.6,5.4,1.4,10
